"filename", "language", "Java", "XML", "Java Properties", "Markdown", "comment", "blank", "total"
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\UserFollowers.java", "Java", 84, 0, 0, 0, 0, 24, 108
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\UserFollowings.java", "Java", 84, 0, 0, 0, 0, 24, 108
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\UserFriends.java", "Java", 83, 0, 0, 0, 0, 25, 108
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\UserGroupsJson.java", "Java", 251, 0, 0, 0, 1, 68, 320
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\UserJson.java", "Java", 136, 0, 0, 0, 7, 30, 173
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\UserOutfits.java", "Java", 79, 0, 0, 0, 0, 20, 99
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\UserUsernames.java", "Java", 45, 0, 0, 0, 0, 12, 57
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\structs\CustomObjectMapper.java", "Java", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\structs\DateDeserializer.java", "Java", 35, 0, 0, 0, 3, 10, 48
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\structs\ThumbnailRequest.java", "Java", 40, 0, 0, 0, 0, 13, 53
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\entities\Asset.java", "Java", 161, 0, 0, 0, 0, 52, 213
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\entities\Avatar.java", "Java", 130, 0, 0, 0, 0, 47, 177
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\entities\Badge.java", "Java", 113, 0, 0, 0, 0, 34, 147
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\entities\Group.java", "Java", 100, 0, 0, 0, 0, 36, 136
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\entities\Outfit.java", "Java", 27, 0, 0, 0, 0, 12, 39
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\entities\User.java", "Java", 233, 0, 0, 0, 21, 56, 310
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\entities\UserInGroup.java", "Java", 34, 0, 0, 0, 0, 15, 49
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\enums\AssetTypes.java", "Java", 84, 0, 0, 0, 0, 7, 91
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\enums\ThumnailBatch.java", "Java", 19, 0, 0, 0, 0, 1, 20
